metodo;tempo;tamanho_array
backtracking;0.000024318695068359375;2
backtracking;0.00006079673767089844;4
backtracking;0.00018835067749023438;6
backtracking;0.0006563663482666016;8
backtracking;0.0026121139526367188;10
backtracking;0.00977635383605957;12
backtracking;0.04455900192260742;14
backtracking;0.057308197021484375;16
backtracking;0.1397075653076172;18
backtracking;0.5641312599182129;20
backtracking;2.190894365310669;22
dinamico;0.0002346038818359375;2
dinamico;0.00022721290588378906;4
dinamico;0.00028324127197265625;6
dinamico;0.00034427642822265625;8
dinamico;0.0003650188446044922;10
dinamico;0.0004107952117919922;12
dinamico;0.0005381107330322266;14
dinamico;0.00042128562927246094;16
dinamico;0.00021409988403320312;18
dinamico;0.00019311904907226562;20
dinamico;0.0001392364501953125;22
recursivo;0.00002765655517578125;2
recursivo;0.00005888938903808594;4
recursivo;0.00006818771362304688;6
recursivo;0.00007343292236328125;8
recursivo;0.00007510185241699219;10
recursivo;0.00008153915405273438;12
recursivo;0.00008487701416015625;14
recursivo;0.00009584426879882812;16
recursivo;0.0000324249267578125;18
recursivo;0.000037670135498046875;20
recursivo;0.000020742416381835938;22
